ESTADO;NOMBRE NODO;ACRONIMO;PROVINCIA;COORDENADAS
ENSERVICIO;UBA;RARCIU19;CABA;[-58.399258,-34.59881]
NO INTEGRADO;TERMAS DE RIO HONDO;RARGTRH02;SANTIAGO DEL ESTERO;[-64.866223,-27.49858]
ENSERVICIO;AABE;RARCIU24;CABA;[-58.375276,-34.592563]
ENSERVICIO;PUENTE DEL INCA;RARMINC01;MENDOZA;[-69.912522,-32.823706]
ENSERVICIO;USPALLATA;RARMUSP01;MENDOZA;[-69.349389,-32.597194]
ENSERVICIO;SAN MIGUEL;RARKSMG01;CATAMARCA;[-66.202639,-28.140046]
ENSERVICIO;ANDALGALA;RARKAND01;CATAMARCA;[-66.31556944,-27.58519722]
ENSERVICIO;LA PLATA;RARBLPL04;BUENOS AIRES;[-57.9746888889,-34.9425166667]
ENSERVICIO;POTRERILLOS;RARMPRR01;MENDOZA;[-69.194701,-32.9615]
INACTIVO;FIAMBALA;RARKFIA01;CATAMARCA;[-67.6085749,-27.69316213]
INACTIVO;EL PUESTO;RARKEPS01;CATAMARCA;[-67.6304002,-27.92676215]
INACTIVO;TINOGASTA;RARKTIN01;CATAMARCA;[-67.56516944,-28.06616389]
INACTIVO;LA PUNTILLA (TINOGASTA);RARKPTL01;CATAMARCA;[-67.499989,-28.126661]
INACTIVO;COPACABANA;RARKCOP01;CATAMARCA;[-67.4981014,-28.12439147]
INACTIVO;LAGO PUELO;RARULAP02;CHUBUT;[-71.546614,-42.026261]
NO INTEGRADO;YPF PUERTO MADERO;RARBYPF02;CABA;[-58.3625,-34.6055556]
ENSERVICIO;PEAJE PILAR;RARBPLR02;BUENOS AIRES;[-58.708972,-34.461644]
ENSERVICIO;PEAJE CAMPANA;RARBCMP01;BUENOS AIRES;[-58.690117,-34.459025]
NO INTEGRADO;LAS CUEVAS;RARMCUE01;MENDOZA;[-70.08518243,-32.81]
ENSERVICIO;SAUJIL (POMAN);RARKSAU01;CATAMARCA;[-66.2117227,-28.17330911]
ENSERVICIO;COLPES (POMAN);RARKCOS01;CATAMARCA;[-66.2065039,-28.06065039]
ENSERVICIO;PEAJE TIGRE;RARBTGR01;BUENOS AIRES;[-58.559433,-34.485289]
ENSERVICIO;PEAJE MARQUEZ;RARBMRQ01;BUENOS AIRES;[-58.551317,-34.497475]
NO INTEGRADO;COLONIA ALEMANA (DESVINCULADO);RAREAMN01;ENTRE RIOS;[-58.00035,-30.9034528]
ENSERVICIO;PILAR;RARBPLR01;BUENOS AIRES;[-58.8661,-34.458664]
INACTIVO;PEAJE DEBENEDETTI;RARBDBT01;BUENOS AIRES;[-58.52095,-34.513167]
ENSERVICIO;GONNET-CIC;RARBGNT01;BUENOS AIRES;[-58.379641,-34.602426]
ENSERVICIO;EL PAJONAL;RARKPAJ01;CATAMARCA;[-66.295161,-28.372007]
ENSERVICIO;RIO TURBIO;RARZRTB01;SANTA CRUZ;[-72.348056,-51.537211]
ENSERVICIO;28 DE NOVIEMBRE;RARZ28N01;SANTA CRUZ;[-72.20804109,-51.58]
ENSERVICIO;CASAS VIEJAS;RARZCSV01;SANTA CRUZ;[-72.297407,-51.690316]
ENSERVICIO;JULIA DUFOUR;RARZDUF01;SANTA CRUZ;[-72.23989673,-51.54]
ENSERVICIO;ROSPENTEK;RARZROK01;SANTA CRUZ;[-72.14269883,-51.66]
ENSERVICIO;CANCHA CARRERA;RARZCHC01;SANTA CRUZ;[-72.23635879,-51.25583043]
INACTIVO;POMONA;RARRPMN01;RIO NEGRO;[-65.61022222,-39.4865]
INACTIVO;LAMARQUE;RARRLMQ01;RIO NEGRO;[-65.70247222,-39.42445556]
INACTIVO;LUIS BELTRAN;RARRLBE01;RIO NEGRO;[-65.76441667,-39.31052778]
INACTIVO;GENERAL CONESA;RARBGCN01;BUENOS AIRES;[-57.3249371,-36.52]
INACTIVO;TRES ARROYOS;RARBTAR01;BUENOS AIRES;[-60.30571667,-38.3809472]
INACTIVO;SALTO DE LAS ROSAS;RARMSDR01;MENDOZA;[-68.22296667,-34.722975]
INACTIVO;RAMA CAIDA;RARMRCD01;MENDOZA;[-68.36854444,-34.7020583]
INACTIVO;BARRIO EL NEVADO;RARMNEV01;MENDOZA;[-67.98706667,-34.7873472]
INACTIVO;VILLA ATUEL NORTE;RARMATU01;MENDOZA;[-68.03007222,-34.758225]
INACTIVO;PUNTA DEL MEDANO;RARJPME01;SAN JUAN;[-68.41715,-31.8934]
INACTIVO;SAN ISIDRO;RARKSIS01;CATAMARCA;[-65.726225,-28.4492388]
INACTIVO;RAMON J CARCANO;RARXRJC01;CORDOBA;[-63.1030203,-32.4919403]
INACTIVO;MONTE LENA;RARXMLE01;CORDOBA;[-62.58881944,-32.6113083]
INACTIVO;ALVAREZ;RARSAVZ01;SANTA FE;[-60.80599444,-33.1291]
INACTIVO;SUCO I-1;RARXSUC01;CORDOBA;[-64.83218611,-33.4418472]
INACTIVO;RIO BAMBA;RARXRBB01;CORDOBA;[-63.73310833,-34.0535]
INACTIVO;LAS HIGUERAS;RARXLHG01;CORDOBA;[-64.288366,-33.090137]
INACTIVO;MISION TIERRAS FISCALES;RARAMTF01;SALTA;[-64.09331389,-23.2251556]
INACTIVO;LAS PERLAS;RARRLPR01;RIO NEGRO;[-68.13688889,-38.9851111]
INACTIVO;CHOELE CHOEL;RARRCHC01;RIO NEGRO;[-65.669479,-39.283165]
INACTIVO;PLOTTIER;RARQPTE01;NEUQUEN;[-68.217842,-38.955829]
INACTIVO;LAS LAGUNAS;RARJLLG01;SAN JUAN;[-68.3661,-32.0433167]
