city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Buenos Aires,-34.5997,-58.3819,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,16710000,3054300
Córdoba,-31.4167,-64.1833,Argentina,AR,Córdoba,admin,1505250,1505250
Rosario,-32.9575,-60.6394,Argentina,AR,Santa Fe,minor,1193605,1193605
La Plata,-34.9333,-57.9500,Argentina,AR,Buenos Aires,admin,904789,220184
Salta,-24.7883,-65.4106,Argentina,AR,Salta,admin,627704,594772
San Miguel de Tucumán,-26.8167,-65.2167,Argentina,AR,Tucumán,admin,601888,601888
Mar del Plata,-38.0000,-57.5500,Argentina,AR,Buenos Aires,minor,593337,593337
San Juan,-31.5375,-68.5364,Argentina,AR,San Juan,admin,471389,471389
Lanús,-34.7000,-58.4000,Argentina,AR,Buenos Aires,minor,459263,459263
Corrientes,-27.4833,-58.8167,Argentina,AR,Corrientes,admin,430170,430170
Santa Fe,-31.6333,-60.7000,Argentina,AR,Santa Fe,admin,423212,408572
Avellaneda,-34.6625,-58.3678,Argentina,AR,Buenos Aires,minor,366117,366117
San Salvador de Jujuy,-24.1856,-65.2994,Argentina,AR,Jujuy,admin,312446,312446
Santiago del Estero,-27.7844,-64.2669,Argentina,AR,Santiago del Estero,admin,311506,311487
Resistencia,-27.4514,-58.9867,Argentina,AR,Chaco,admin,300640,300640
Bahía Blanca,-38.7182,-62.2673,Argentina,AR,Buenos Aires,minor,299101,299101
Neuquén,-38.9518,-68.0592,Argentina,AR,Neuquén,admin,288896,288896
Posadas,-27.3667,-55.8969,Argentina,AR,Misiones,admin,275988,275988
Paraná,-31.7331,-60.5297,Argentina,AR,Entre Ríos,admin,271304,271304
Formosa,-26.1847,-58.1758,Argentina,AR,Formosa,admin,264452,264452
Quilmes,-34.7167,-58.2667,Argentina,AR,Buenos Aires,minor,262379,262379
Merlo,-34.6653,-58.7275,Argentina,AR,Buenos Aires,minor,244168,244168
González Catán,-34.7708,-58.6464,Argentina,AR,Buenos Aires,,238067,238067
José C. Paz,-34.5167,-58.7667,Argentina,AR,Buenos Aires,minor,216637,216637
San Rafael,-34.6175,-68.3356,Argentina,AR,Mendoza,minor,215020,215020
La Rioja,-29.4131,-66.8558,Argentina,AR,La Rioja,admin,211651,211651
San Luis,-33.2994,-66.3392,Argentina,AR,San Luis,admin,206921,206921
Comodoro Rivadavia,-45.8667,-67.5000,Argentina,AR,Chubut,minor,201854,201854
Río Cuarto,-33.1230,-64.3478,Argentina,AR,Córdoba,minor,200000,200000
San Lorenzo,-32.7500,-60.7333,Argentina,AR,Santa Fe,,196568,196568
Godoy Cruz,-32.9167,-68.8333,Argentina,AR,Mendoza,minor,191299,191299
Isidro Casanova,-34.7000,-58.5833,Argentina,AR,Buenos Aires,,190696,190696
Las Heras,-32.8500,-68.8167,Argentina,AR,Mendoza,minor,189067,189067
Catamarca,-28.4686,-65.7792,Argentina,AR,Catamarca,admin,186947,186947
Hurlingham,-34.6000,-58.6333,Argentina,AR,Buenos Aires,minor,185641,185641
Berazategui,-34.7679,-58.2133,Argentina,AR,Buenos Aires,minor,180523,180523
Concordia,-31.3922,-58.0169,Argentina,AR,Entre Ríos,minor,180325,180325
San Fernando,-34.4500,-58.5667,Argentina,AR,Buenos Aires,minor,171616,171616
José María Ezeiza,-34.8333,-58.5167,Argentina,AR,Buenos Aires,minor,160219,160219
San Nicolás de los Arroyos,-33.3333,-60.2167,Argentina,AR,Buenos Aires,minor,159978,159978
San Miguel,-34.5431,-58.7118,Argentina,AR,Buenos Aires,,157532,157532
Tandil,-37.3167,-59.1333,Argentina,AR,Buenos Aires,minor,150162,150162
Rafael Castillo,-34.7167,-58.6167,Argentina,AR,Buenos Aires,,147965,147965
Florencio Varela,-34.7975,-58.2759,Argentina,AR,Buenos Aires,minor,146704,146704
San Justo,-34.6833,-58.5500,Argentina,AR,Buenos Aires,minor,136604,136604
San Carlos de Bariloche,-41.1500,-71.3000,Argentina,AR,Río Negro,minor,136381,136381
General Roca,-39.0333,-67.5833,Argentina,AR,Río Negro,minor,136000,136000
Villa Mercedes,-33.6667,-65.4667,Argentina,AR,San Luis,minor,132262,132262
Ituzaingó,-34.6582,-58.6672,Argentina,AR,Buenos Aires,minor,129510,129510
La Banda,-27.7333,-64.2500,Argentina,AR,Santiago del Estero,minor,128834,128834
Mendoza,-32.8897,-68.8444,Argentina,AR,Mendoza,admin,127160,127160
Temperley,-34.7667,-58.3833,Argentina,AR,Buenos Aires,,121451,121451
Ramos Mejía,-34.6500,-58.5667,Argentina,AR,Buenos Aires,,120346,120346
Santa Rosa,-36.6203,-64.2906,Argentina,AR,La Pampa,admin,117201,117201
Río Gallegos,-51.6233,-69.2161,Argentina,AR,Santa Cruz,admin,115585,115585
Pergamino,-33.8836,-60.5669,Argentina,AR,Buenos Aires,minor,114052,114052
Lomas de Zamora,-34.7667,-58.4000,Argentina,AR,Buenos Aires,minor,112580,112580
Rafaela,-31.2667,-61.4833,Argentina,AR,Santa Fe,minor,110709,110709
Bernal,-34.7000,-58.2833,Argentina,AR,Buenos Aires,,109914,109914
Esteban Echeverría,-34.8167,-58.4667,Argentina,AR,Buenos Aires,minor,109644,109644
Gualeguaychú,-33.0078,-58.5111,Argentina,AR,Entre Ríos,minor,109461,109461
Zárate,-34.0833,-59.0333,Argentina,AR,Buenos Aires,minor,109443,109443
Castelar,-34.6500,-58.6500,Argentina,AR,Buenos Aires,,107786,107786
Villa Krause,-31.5833,-68.5333,Argentina,AR,San Juan,minor,107778,107778
Luján,-34.5703,-59.1050,Argentina,AR,Buenos Aires,minor,106899,106899
Trelew,-43.2533,-65.3094,Argentina,AR,Chubut,,106796,106796
Maipú,-32.9667,-68.7500,Argentina,AR,Mendoza,minor,106662,106662
Cipolletti,-38.9333,-68.0167,Argentina,AR,Río Negro,,105647,105647
Puerto Madryn,-42.7730,-65.0366,Argentina,AR,Chubut,minor,102505,102505
Presidencia Roque Sáenz Peña,-26.7833,-60.4500,Argentina,AR,Chaco,minor,101960,101960
